Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,Service points won,Receiver points won,SET,VS_SET,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
2024,3,45502,C,Preliminary,Paris,France,Türkiye,Netherlands,7/19 (37%),12/25 (48%),3,2,19,19,25,25,15,25,25,22,22,13,1,15,13,1,1,0,13,8,7,28,1,2,2,5,1,4,14,19,14,1,6,21,7,8,17,4,0,21,25
2024,3,45502,C,Preliminary,Paris,France,Türkiye,Netherlands,8/20 (40%),11/24 (46%),3,2,19,19,25,25,15,25,25,22,22,13,2,13,11,2,0,0,11,9,15,35,2,4,3,9,0,1,19,20,9,1,11,21,11,5,24,13,2,22,37
2024,3,45502,C,Preliminary,Paris,France,Türkiye,Netherlands,11/24 (46%),14/23 (61%),3,2,19,19,25,25,15,25,25,22,22,13,3,19,15,2,2,0,15,6,17,38,2,5,7,14,2,3,19,24,12,1,7,20,15,5,25,4,0,32,36
2024,3,45502,C,Preliminary,Paris,France,Türkiye,Netherlands,11/25 (44%),14/22 (64%),3,2,19,19,25,25,15,25,25,22,22,13,4,22,19,2,1,0,19,4,17,40,2,3,9,14,1,1,23,25,13,0,6,19,19,10,36,20,2,19,41
2024,3,45502,C,Preliminary,Paris,France,Türkiye,Netherlands,6/14 (43%),9/14 (64%),3,2,19,19,25,25,15,25,25,22,22,13,5,11,10,1,0,0,10,2,11,23,1,2,5,8,0,1,13,14,6,0,6,12,11,6,20,8,1,13,22
2024,3,45502,C,Preliminary,Paris,France,Netherlands,Türkiye,48/108 (44%),59/102 (58%),2,3,25,25,22,22,13,19,19,25,25,15,ALL,77,59,15,3,0,59,20,83,162,15,25,34,74,3,11,94,108,57,4,29,90,65,35,107,62,0,84,146
2024,3,45502,C,Preliminary,Paris,France,Netherlands,Türkiye,13/25 (52%),12/19 (63%),2,3,25,25,22,22,13,19,19,25,25,15,1,15,11,3,1,0,11,3,9,23,3,4,2,9,1,2,22,25,7,1,6,14,7,9,16,9,0,9,18
2024,3,45502,C,Preliminary,Paris,France,Netherlands,Türkiye,13/24 (54%),12/20 (60%),2,3,25,25,22,22,13,19,19,25,25,15,2,19,12,6,1,0,12,5,18,35,6,5,9,20,1,2,21,24,15,0,3,18,16,4,22,14,0,19,33
2024,3,45502,C,Preliminary,Paris,France,Netherlands,Türkiye,9/23 (39%),13/24 (54%),2,3,25,25,22,22,13,19,19,25,25,15,3,16,12,3,1,0,12,5,15,32,3,5,7,15,1,3,19,23,12,2,7,21,13,8,23,18,0,12,30
2024,3,45502,C,Preliminary,Paris,France,Netherlands,Türkiye,8/22 (36%),14/25 (56%),2,3,25,25,22,22,13,19,19,25,25,15,4,16,15,1,0,0,15,4,24,43,1,8,12,21,0,2,20,22,16,1,7,24,17,10,28,12,0,29,41
2024,3,45502,C,Preliminary,Paris,France,Netherlands,Türkiye,5/14 (36%),8/14 (57%),2,3,25,25,22,22,13,19,19,25,25,15,5,11,9,2,0,0,9,3,17,29,2,3,4,9,0,2,12,14,7,0,6,13,12,4,18,9,0,15,24
2024,4,45502,B,Preliminary,Paris,France,Brazil,Kenya,41/73 (56%),34/41 (83%),3,0,25,25,25,-,-,14,13,12,-,-,ALL,60,42,16,2,0,42,7,24,73,16,12,15,43,2,10,61,73,28,0,8,36,35,6,46,34,1,35,70
2024,4,45502,B,Preliminary,Paris,France,Brazil,Kenya,13/24 (54%),12/15 (80%),3,0,25,25,25,-,-,14,13,12,-,-,1,20,15,4,1,0,15,1,15,31,4,7,5,16,1,4,19,24,6,0,5,11,19,0,20,9,0,20,29
2024,4,45502,B,Preliminary,Paris,France,Brazil,Kenya,14/25 (56%),11/13 (85%),3,0,25,25,25,-,-,14,13,12,-,-,2,21,14,6,1,0,14,2,8,24,6,4,6,16,1,3,21,25,10,0,2,12,10,4,17,13,0,10,23
2024,4,45502,B,Preliminary,Paris,France,Brazil,Kenya,14/24 (58%),11/13 (85%),3,0,25,25,25,-,-,14,13,12,-,-,3,19,13,6,0,0,13,4,1,18,6,1,4,11,0,3,21,24,12,0,1,13,6,2,9,12,1,5,18
2024,4,45502,B,Preliminary,Paris,France,Kenya,Brazil,7/41 (17%),32/73 (44%),0,3,14,13,12,-,-,25,25,25,-,-,ALL,24,21,3,0,0,21,23,36,80,3,14,13,30,0,4,37,41,21,2,35,58,24,19,46,14,1,63,78
2024,4,45502,B,Preliminary,Paris,France,Kenya,Brazil,3/15 (20%),11/24 (46%),0,3,14,13,12,-,-,25,25,25,-,-,1,9,9,0,0,0,9,5,14,28,0,6,7,13,0,3,12,15,5,1,11,17,10,4,15,4,0,20,24
2024,4,45502,B,Preliminary,Paris,France,Kenya,Brazil,2/13 (15%),11/25 (44%),0,3,14,13,12,-,-,25,25,25,-,-,2,10,8,2,0,0,8,7,12,27,2,3,5,10,0,1,12,13,10,1,10,21,10,9,20,6,1,22,29
2024,4,45502,B,Preliminary,Paris,France,Kenya,Brazil,2/13 (15%),10/24 (42%),0,3,14,13,12,-,-,25,25,25,-,-,3,5,4,1,0,0,4,11,10,25,1,5,1,7,0,0,13,13,6,0,14,20,4,6,11,4,0,21,25
2024,5,45502,A,Preliminary,Paris,France,USA,China,42/102 (41%),60/102 (59%),2,3,20,19,25,25,13,25,25,17,20,15,ALL,91,74,11,6,0,74,27,67,168,11,30,30,71,6,5,91,102,61,1,37,99,53,16,92,40,1,109,150
2024,5,45502,A,Preliminary,Paris,France,USA,China,7/20 (35%),13/25 (52%),2,3,20,19,25,25,13,25,25,17,20,15,1,18,15,2,1,0,15,7,22,44,2,11,6,19,1,0,19,20,18,1,6,25,17,4,30,8,1,32,41
2024,5,45502,A,Preliminary,Paris,France,USA,China,5/20 (25%),14/24 (58%),2,3,20,19,25,25,13,25,25,17,20,15,2,16,14,2,0,0,14,5,16,35,2,4,7,13,0,3,17,20,16,0,8,24,7,4,15,13,0,18,31
2024,5,45502,A,Preliminary,Paris,France,USA,China,11/24 (46%),14/18 (78%),2,3,20,19,25,25,13,25,25,17,20,15,3,22,19,2,1,0,19,7,10,36,2,4,8,14,1,2,21,24,8,0,8,16,16,3,24,7,0,27,34
2024,5,45502,A,Preliminary,Paris,France,USA,China,14/25 (56%),11/20 (55%),2,3,20,19,25,25,13,25,25,17,20,15,4,23,17,3,3,0,17,6,13,36,3,5,7,15,3,0,21,24,8,0,11,19,10,4,18,7,0,21,28
2024,5,45502,A,Preliminary,Paris,France,USA,China,5/13 (38%),8/15 (53%),2,3,20,19,25,25,13,25,25,17,20,15,5,12,9,2,1,0,9,2,6,17,2,6,2,10,1,0,13,14,11,0,4,15,3,1,5,5,0,11,16
